Date,Value
9/18/2018,500513
9/19/2018,507255
9/20/2018,498146
9/21/2018,544686
9/22/2018,470309
9/23/2018,468627
9/24/2018,480337
9/25/2018,519108
9/26/2018,493507
9/27/2018,504047
9/28/2018,500407
9/29/2018,434315
9/30/2018,479351
10-01-2018,476308
10-02-2018,490262
10-03-2018,559006
10-04-2018,559181
10-05-2018,595361
10-06-2018,596865
10-07-2018,497767
10-08-2018,542842
10-09-2018,537028
10-10-2018,516772
10-11-2018,570525
10-12-2018,562140
10/13/2018,541797
10/14/2018,511719
10/15/2018,562011
10/16/2018,575450
10/17/2018,580354
10/18/2018,565791
10/19/2018,601119
10/20/2018,534080
10/21/2018,508014
10/22/2018,577314
10/23/2018,556231
10/24/2018,532709
10/25/2018,537236
10/26/2018,551218
10/27/2018,499165
10/28/2018,509862
10/29/2018,614695
10/30/2018,608397
10/31/2018,585707
11-01-2018,589096
11-02-2018,548534
11-03-2018,505015
11-04-2018,510848
11-05-2018,582354
11-06-2018,597166
11-07-2018,564602
11-08-2018,555392
11-09-2018,547848
11-10-2018,489120
11-11-2018,527799
11-12-2018,571162
11/13/2018,553590
11/14/2018,582181
11/15/2018,563051
11/16/2018,552107
11/17/2018,505581
11/18/2018,484801
11/19/2018,622942
11/20/2018,625752
11/21/2018,579531
11/22/2018,568895
11/23/2018,559992
11/24/2018,497091
11/25/2018,529038
11/26/2018,557388
11/27/2018,565825
11/28/2018,622580
11/29/2018,555591
11/30/2018,599039
12-01-2018,525757
12-02-2018,492410
12-03-2018,548100
12-04-2018,565202
12-05-2018,595937
12-06-2018,590923
12-07-2018,572417
12-08-2018,552651
12-09-2018,507555
12-10-2018,555379
12-11-2018,536006
12-12-2018,533920
12/13/2018,565689
12/14/2018,567306
12/15/2018,551916
12/16/2018,516697
12/17/2018,570051
12/18/2018,556320
12/19/2018,597824
12/20/2018,602429
12/21/2018,606526
12/22/2018,495551
12/23/2018,543655
12/24/2018,615551
12/25/2018,535001
12/26/2018,560047
12/27/2018,548411
12/28/2018,572189
12/29/2018,543746
12/30/2018,460395
12/31/2018,522040
01-01-2019,448168
01-02-2019,589959
01-03-2019,596620
01-04-2019,549398
01-05-2019,511189
01-06-2019,487372
01-07-2019,550964
01-08-2019,553367
01-09-2019,558847
01-10-2019,582839
01-11-2019,541838
01-12-2019,452707
1/13/2019,481347
1/14/2019,577239
1/15/2019,539896
1/16/2019,507687
1/17/2019,517082
1/18/2019,538899
1/19/2019,539125
1/20/2019,537705
1/21/2019,582751
1/22/2019,605558
1/23/2019,533819
1/24/2019,520130
1/25/2019,504903
1/26/2019,464380
1/27/2019,488814
1/28/2019,568564
1/29/2019,566026
1/30/2019,555347
1/31/2019,517057
02-01-2019,498856
02-02-2019,450314
02-03-2019,424378
02-04-2019,416394
02-05-2019,414815
02-06-2019,429065
02-07-2019,428676
02-08-2019,471952
02-09-2019,417129
02-10-2019,381151
02-11-2019,429007
02-12-2019,438111
2/13/2019,491354
2/14/2019,474782
2/15/2019,468599
2/16/2019,454309
2/17/2019,447945
2/18/2019,512455
2/19/2019,533602
2/20/2019,530268
2/21/2019,544817
2/22/2019,530839
2/23/2019,476225
2/24/2019,540201
2/25/2019,573756
2/26/2019,553925
2/27/2019,539516
2/28/2019,541458
03-01-2019,547622
03-02-2019,526912
03-03-2019,492382
03-04-2019,620211
03-05-2019,598085
03-06-2019,578932
03-07-2019,572685
03-08-2019,562361
03-09-2019,555854
03-10-2019,484038
03-11-2019,536412
03-12-2019,564306
3/13/2019,573281
3/14/2019,573828
3/15/2019,553012
3/16/2019,504183
3/17/2019,494872
3/18/2019,573940
3/19/2019,635940
3/20/2019,630313
3/21/2019,618318
3/22/2019,628700
3/23/2019,561778
3/24/2019,549073
3/25/2019,648670
3/26/2019,629010
3/27/2019,625948
3/28/2019,634367
3/29/2019,640352
3/30/2019,667967
3/31/2019,646230
04-01-2019,687574
04-02-2019,758900
04-03-2019,746605
04-04-2019,673520
04-05-2019,621924
04-06-2019,559039
04-07-2019,572886
04-08-2019,668000
04-09-2019,656914
04-10-2019,674070
04-11-2019,729032
04-12-2019,694793
4/13/2019,614291
4/14/2019,551055
4/15/2019,622058
4/16/2019,656461
4/17/2019,681896
4/18/2019,697650
4/19/2019,693183
4/20/2019,686824
4/21/2019,631190
4/22/2019,719306
4/23/2019,729268
4/24/2019,668917
4/25/2019,680812
4/26/2019,661061
4/27/2019,562687
4/28/2019,593482
4/29/2019,628989
4/30/2019,707771
05-01-2019,703790
05-02-2019,626308
05-03-2019,670882
05-04-2019,623395
05-05-2019,637464
05-06-2019,706135
05-07-2019,658146
05-08-2019,686996
05-09-2019,718440
05-10-2019,736762
05-11-2019,742337
05-12-2019,715827
5/13/2019,758695
5/14/2019,830785
5/15/2019,847606
5/16/2019,908208
5/17/2019,810320
5/18/2019,735420
5/19/2019,752431
5/20/2019,860161
5/21/2019,812799
5/22/2019,873384
5/23/2019,846724
